X,Y,OBJECTID,Name,Address,Streetview_Link,WGS84Longitude,WGS84Latitude
-8.191462703822753,53.630931886469831,24,Gleeson’s Artisan Food Shop,Roscommon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.6309318870545&amp;Lng=-8.19146270334666",-8.1914627,53.63093188
-8.080164521568319,53.465863158385211,25,Derryglad Folk Museum,Derryglad,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4658631591965&amp;Lng=-8.0801645211801",-8.08016452,53.46586315
-8.193491826729224,53.635322405328608,26,Roscommon Castle,Roscommon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.6310728480655&amp;Lng=-8.19136446960903",-8.19349182,53.6353224
-8.318508051595233,53.63271159267547,27,Donamon Castle,Donamon,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.632711593763&amp;Lng=-8.31850805103326",-8.31850805,53.63271159
-8.066717966144829,53.577951093091514,28,Gailey Bay,Lough Ree,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5779510941414&amp;Lng=-8.06671796557968",-8.06671796,53.577951
-7.990720367894374,53.538683671551112,29,Rindoon Castle/St John’s Wood entrance,Lough Ree,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5386836721574&amp;Lng=-7.99072036731681",-7.9907203,53.5386836
-8.260715339163347,53.569374674972629,30,"Suck Valley Visitor Conference Centre & Riverside Cafe, Athleague",Athleague,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5693746756462&amp;Lng=-8.26071533975432",-8.26071533,53.5693746
-8.271722772357341,53.585233771762319,31,Castle Strange,Athleague,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5852337723824&amp;Lng=-8.27172277244939",-8.27172277,53.58523377
-8.271889794514927,53.586731035141057,32,Castle Strange Stone,Athleague,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.5867310364209&amp;Lng=-8.27188979379509",-8.27188979,53.586731
-8.020523174733588,53.39788011977727,33,Glendeer Pet Farm,Drum,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.397880120548&amp;Lng=-8.02052317528816",-8.02052317,53.39788012
-8.21024407271876,53.420628020662782,34,Little House of Avalon,Taughmaconnell,"http://apps.roscommoncoco.ie/GoogleStreetView/GoogleMapStreetView.html?Lat=53.4206280213918&amp;Lng=-8.21024407255308",-8.21024407,53.42062802
